사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Dec.25,1호선,150,서울역,2139266 ,2033765 ,285273 ,269301 
Dec.25,1호선,151,시청,757526 ,761025 ,123162 ,121534 
Dec.25,1호선,152,종각,1169643 ,1114545 ,185655 ,171213 
Dec.25,1호선,153,종로3가,532846 ,469163 ,323524 ,295418 
Dec.25,1호선,154,종로5가,498106 ,489492 ,257349 ,250684 
Dec.25,1호선,155,동대문,268677 ,260411 ,135572 ,133695 
Dec.25,1호선,156,신설동,315831 ,303373 ,127075 ,122587 
Dec.25,1호선,157,제기동,237506 ,228264 ,260338 ,280931 
Dec.25,1호선,158,청량리(서울시립대입구),444639 ,441089 ,301014 ,302847 
Dec.25,1호선,159,동묘앞,159800 ,165315 ,151749 ,154303 
Dec.25,2호선,201,시청,776522 ,707569 ,72809 ,64681 
Dec.25,2호선,202,을지로입구,1583801 ,1615231 ,133059 ,124417 
Dec.25,2호선,203,을지로3가,728968 ,729511 ,85225 ,85343 
Dec.25,2호선,204,을지로4가,382908 ,379952 ,81434 ,80679 
Dec.25,2호선,205,동대문역사문화공원(DDP),435023 ,515054 ,67464 ,74358 
Dec.25,2호선,206,신당,383643 ,406379 ,98557 ,101115 
Dec.25,2호선,207,상왕십리,376492 ,368773 ,73922 ,74682 
Dec.25,2호선,208,왕십리(성동구청),463488 ,427821 ,61261 ,56615 
Dec.25,2호선,209,한양대,344962 ,370603 ,15906 ,17294 
Dec.25,2호선,210,뚝섬,711688 ,744323 ,72272 ,71937 
Dec.25,2호선,211,성수,1715327 ,1839341 ,110207 ,110770 
Dec.25,2호선,212,건대입구,1146662 ,1201189 ,108026 ,112317 
Dec.25,2호선,213,구의(광진구청),749759 ,736055 ,132893 ,133642 
Dec.25,2호선,214,강변(동서울터미널),758582 ,690840 ,124365 ,118310 
Dec.25,2호선,215,잠실나루,350294 ,337564 ,99708 ,98672 
Dec.25,2호선,216,잠실(송파구청),2570844 ,2520700 ,255953 ,245328 
Dec.25,2호선,217,잠실새내,633605 ,625195 ,128352 ,127505 
Dec.25,2호선,218,종합운동장,251004 ,276465 ,57781 ,60513 
Dec.25,2호선,219,삼성(무역센터),1734254 ,1696150 ,145294 ,135573 
Dec.25,2호선,220,선릉,1449962 ,1268619 ,260590 ,229004 
Dec.25,2호선,221,역삼,1320249 ,1491414 ,155711 ,158757 
Dec.25,2호선,222,강남,2354430 ,2331914 ,188170 ,164829 
Dec.25,2호선,223,교대(법원.검찰청),755413 ,913328 ,175037 ,210019 
Dec.25,2호선,224,서초,581170 ,560063 ,110299 ,111427 
Dec.25,2호선,225,방배,437408 ,450108 ,86849 ,85668 
Dec.25,2호선,226,사당,1121638 ,1248205 ,275361 ,261207 
Dec.25,2호선,227,낙성대(강감찬),737576 ,706399 ,123794 ,125897 
Dec.25,2호선,228,서울대입구(관악구청),1249968 ,1200142 ,197578 ,186331 
Dec.25,2호선,229,봉천,589359 ,543952 ,167691 ,167176 
Dec.25,2호선,230,신림,1520913 ,1483487 ,220738 ,221716 
Dec.25,2호선,231,신대방,626153 ,592764 ,139542 ,140705 
Dec.25,2호선,232,구로디지털단지,1504375 ,1484292 ,240595 ,239869 
Dec.25,2호선,233,대림(구로구청),604793 ,615864 ,152139 ,158080 
Dec.25,2호선,234,신도림,1282044 ,1240026 ,255430 ,239698 
Dec.25,2호선,235,문래,610866 ,635935 ,97565 ,97328 
Dec.25,2호선,236,영등포구청,588329 ,611747 ,120297 ,119780 
Dec.25,2호선,237,당산,499331 ,568940 ,65991 ,72809 
Dec.25,2호선,238,합정,958696 ,1056224 ,77764 ,79792 
Dec.25,2호선,239,홍대입구,2326666 ,2506305 ,114074 ,110914 
Dec.25,2호선,240,신촌,1079062 ,1091088 ,141665 ,140173 
Dec.25,2호선,241,이대,477437 ,514498 ,54610 ,58558 
Dec.25,2호선,242,아현,276334 ,258162 ,72298 ,71205 
Dec.25,2호선,243,충정로(경기대입구),261004 ,282726 ,51525 ,51581 
