사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2025-12,1호선,0150,서울역,829 ,48 ,10627 ,10422 ,31795 ,58948 ,99643 ,130828 ,170570 ,253207 ,127186 ,185173 ,113947 ,110123 ,125751 ,107625 ,143232 ,119575 ,133630 ,117354 ,119770 ,109010 ,149404 ,128983 ,172856 ,140799 ,249802 ,168686 ,265749 ,196927 ,151510 ,137539 ,112192 ,103616 ,118623 ,100154 ,82642 ,74756 ,39799 ,37655 ,4828 ,9807 ,154 ,1666 ,0 ,165 ,0 ,0 
2025-12,1호선,0151,시청,89 ,2 ,1959 ,5209 ,3748 ,27353 ,7217 ,77591 ,10066 ,208709 ,13143 ,103282 ,17299 ,54625 ,24669 ,53639 ,30052 ,47228 ,34775 ,46077 ,45131 ,38786 ,59924 ,36736 ,74046 ,39939 ,108214 ,46286 ,172840 ,38248 ,75278 ,20210 ,73850 ,13483 ,67961 ,10930 ,43082 ,7627 ,14688 ,5115 ,2494 ,1309 ,163 ,175 ,0 ,0 ,0 ,0 
2025-12,1호선,0152,종각,122 ,2 ,4013 ,5886 ,4527 ,36809 ,6867 ,118549 ,10435 ,269608 ,14134 ,157512 ,21044 ,70225 ,34347 ,75196 ,41376 ,66813 ,52212 ,63130 ,66971 ,54984 ,85028 ,51979 ,104266 ,66165 ,171258 ,79819 ,235166 ,76961 ,122988 ,37856 ,121298 ,20302 ,125374 ,15613 ,90684 ,11514 ,39423 ,5304 ,3245 ,1450 ,520 ,81 ,0 ,0 ,0 ,0 
2025-12,1호선,0153,종로3가,143 ,11 ,4024 ,4051 ,4279 ,13155 ,7318 ,26855 ,10019 ,63515 ,14900 ,62402 ,22420 ,56079 ,34195 ,73492 ,47174 ,72687 ,50877 ,61536 ,63855 ,57676 ,74120 ,52162 ,80432 ,53237 ,91311 ,51931 ,94442 ,45621 ,64607 ,23821 ,59359 ,14693 ,59815 ,11937 ,45678 ,9320 ,20735 ,7531 ,6225 ,2714 ,442 ,153 ,0 ,2 ,0 ,0 
2025-12,1호선,0154,종로5가,65 ,6 ,1979 ,4340 ,3152 ,17576 ,6071 ,42717 ,10669 ,89726 ,15335 ,65868 ,26087 ,58499 ,37497 ,64170 ,46295 ,60388 ,54445 ,57581 ,66752 ,53859 ,70713 ,46958 ,78109 ,45869 ,94395 ,41016 ,93202 ,35181 ,50571 ,21465 ,38975 ,11987 ,31069 ,9155 ,22762 ,7508 ,6603 ,4906 ,655 ,1317 ,54 ,84 ,0 ,0 ,0 ,0 
2025-12,1호선,0155,동대문,751 ,40 ,11118 ,2124 ,9228 ,6145 ,15091 ,10765 ,22960 ,18277 ,22687 ,22139 ,20655 ,23832 ,21693 ,29265 ,25352 ,29338 ,27763 ,28590 ,30861 ,27386 ,32225 ,27010 ,33665 ,26495 ,30488 ,26074 ,26648 ,26061 ,19872 ,23270 ,17523 ,17540 ,15582 ,16673 ,12065 ,17226 ,6424 ,11463 ,1491 ,3803 ,107 ,590 ,0 ,0 ,0 ,0 
2025-12,1호선,0156,신설동,497 ,10 ,8212 ,2324 ,9958 ,8677 ,22112 ,24112 ,33500 ,53831 ,22864 ,33735 ,21652 ,21630 ,23359 ,20154 ,25092 ,19651 ,26395 ,21678 ,25732 ,20465 ,27743 ,22978 ,33151 ,24720 ,44283 ,28058 ,53324 ,32900 ,21574 ,24250 ,15527 ,18427 ,13475 ,18284 ,9668 ,16260 ,4217 ,10277 ,550 ,3213 ,21 ,326 ,0 ,0 ,0 ,0 
2025-12,1호선,0157,제기동,360 ,13 ,5083 ,2404 ,8629 ,9235 ,20829 ,19398 ,31572 ,36227 ,22892 ,30635 ,24176 ,34106 ,30957 ,44243 ,37548 ,46572 ,41391 ,48389 ,46373 ,45400 ,48701 ,38610 ,47168 ,34890 ,44193 ,27768 ,35929 ,26990 ,20421 ,18487 ,13850 ,12830 ,9270 ,12588 ,5975 ,11392 ,2335 ,6868 ,182 ,2011 ,10 ,139 ,0 ,0 ,0 ,0 
2025-12,1호선,0158,청량리(서울시립대입구),1030 ,59 ,10474 ,2911 ,18132 ,10745 ,50107 ,17442 ,60237 ,39394 ,38023 ,39815 ,35351 ,42144 ,41613 ,54909 ,49728 ,56286 ,53338 ,57867 ,58317 ,56001 ,63931 ,54455 ,67245 ,54397 ,60061 ,55313 ,48447 ,61684 ,28739 ,41728 ,23781 ,26884 ,19143 ,26522 ,12312 ,24307 ,5206 ,14211 ,429 ,6004 ,9 ,858 ,0 ,0 ,0 ,0 
